author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
John Papa,"Data-Driven Services with Silverlight 2 - data access and web services for rich internet applications: includes LINQ, REST, ADO.NET Data Services and more.",Null,2009,"I-XXII, 1-342",http://www.oreilly.de/catalog/9780596523091/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-52309-1,Null,Null,Null
"Hisao Ishibuchi, Tomoharu Nakashima, Manabu Nii",Classification and modeling with linguistic information granules - advanced approaches to linguistic data mining.,Null,2005,"I-XI, 1-307",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-20767-2,Advanced information processing,Null,Null
Narain H. Gehani,Ada - an advanced introduction (2. ed.).,Null,1989,"I-XVII, 1-280",Null,Prentice Hall,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-13-004334-4,Null,Null,Null
"Charles Rich, Richard C. Waters",The programmer's apprentice.,Null,1990,"I-XI, 1-238",Null,ACM,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-201-52425-3,ACM Press frontier series,Null,Null
"David Sklar, Adam Trachtenberg",PHP cookbook - solutions and examples for PHP programmers: covers PHP 5 (2. ed.).,Null,2006,"I-XXIV, 1-783",http://www.oreilly.de/catalog/phpckbk2/,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-10101-5,Null,Null,Null
"Brian Lomasky, David C. Kreines",Oracle scripts - powerful tools for DBAs and developers: covers Oracle8.,Null,1998,"I-XVI, 1-185",Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-56592-438-3,Null,Null,Null
"Mark d'Inverno, Michael Luck","Understanding agent systems, Second Edition.",Null,2004,"I-XVIII, 1-240",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-40700-3,Springer series on agent technology,Null,Null
Jonathan Hassell,Learning Windows Server 2003 - the no-nonsense guide to administering Windows server.,Null,2005,"I-XV, 1-653",http://www.oreilly.de/catalog/lwinsvr2003/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00624-2,Null,Null,Null
Simson L. Garfinkel,PGP - pretty good privacy: encryption for everyone (2. ed.).,Null,1995,"I-XXXIII, 1-393",Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-56592-098-9,Null,Null,Null
"David R. Westhead, John Howard Parish, Richard M. Twyman",Bioinformatics.,Null,2002,"I-VII, 1-257",Null,BIOS Scientific Publishers,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-85996-272-5,Instant notes,Null,Null
"Silvia M. Müller, Wolfgang J. Paul",Computer architecture - complexity and correctness.,Null,2000,"I-XIII, 1-553",http://www.springer.com/computer/swe/book/978-3-540-67481-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-67481-8,Null,Null,Null
Colin Haynes,Paperless publishing.,Null,1994,"I-XIV, 1-370",Null,Windcrest,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-07-911895-0,Null,Null,Null
"José L. Encarnação, L. Miguel Encarnação, Wolfgang Herzner","Graphische Datenverarbeitung mit GKS - Normung, Programmmierung und Weiterentwicklung: praktische Einführung mit 40 lauffähigen Programmen auf dem IBM Personal Computer.",Null,1987,"I-XI, 1-360",Null,Hanser,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-446-14978-6,PC professionell,Null,Null
"Rael Dornfest, Paul Bausch, Tara Calishain",Google hacks - tips and tools for finding and using the world's information: covers Google maps (3. ed.).,Null,2006,"I-XXXII, 1-510",http://www.oreilly.de/catalog/googlehks3/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-52706-8,Null,Null,Null
Alison Cawsey,Künstliche Intelligenz im Klartext.,Null,2003,1-230,http://www.pearson-studium.de/main/main.asp?page=bookdetails&isbn=382737068X,Pearson Studium,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8273-7068-6,Null,Null,Null
"Nitesh Dhanjani, Justin Clarke","Network security tools - writing, hacking, and modifying security tools.",Null,2005,"I-XIII, 1-324",http://www.oreilly.de/catalog/networkst/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00794-2,Null,Null,Null
Heinz-Dieter Ebbinghaus,Ernst Zermelo - an approach to his life and work.,Null,2007,"I-XIV, 1-356",https://doi.org/10.1007/978-3-540-49553-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-49551-2,Null,Null,Null
Kevin D. Ashley,Modeling legal argument - reasoning with cases and hypotheticals.,Null,1990,"I-X, 1-329",Null,MIT Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-262-01114-3,Artificial intelligence and legal reasoning,Null,Null
"Hooman H. Rashidi, Lukas K. Bühler",Grundriss der Bioinformatik - Anwendungen in den Biowissenschaften und der Medizin.,Null,2001,"I-VI, 1-172",Null,Spektrum Akadem. Verl.,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8274-1094-8,Null,Null,Null
"Alain Bonnet, Jean Paul Haton, Jean-Michel Truong-Ngoc",Expert systems - principles and practice.,Null,1988,"I-X, 1-228",Null,Prentice Hall,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-13-295635-2,Null,Null,Null
Thomas Hoeren,Big Data und Recht.,Null,2014,"I-XXI, 1-138",http://www.beck-shop.de/Hoeren-Big-Data-Recht/productview.aspx?product=13905715,Beck,Null,Null,Null,83,Null,Null,Null,Null,Null,Null,Null,Null,978-3-406-67122-7,Schriftenreihe Information und Recht,Null,Null
"Herbert Edelsbrunner, John Harer",Computational Topology - an Introduction.,Null,2010,"I-XII, 1-241",http://www.ams.org/bookstore-getitem/item=MBK-69,American Mathematical Society,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-8218-4925-5,Null,Null,Null
Arnold Robbins,sed and awk - pocket reference: text processing with regular expressions (2. ed.).,Null,2002,"I-VI, 1-46",http://www.oreilly.de/catalog/sedawkrepr2/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00352-4,Null,Null,Null
Paulo Tabuada,Verification and Control of Hybrid Systems - A Symbolic Approach.,Null,2009,"I-XV, 1-202",http://www.springer.com/mathematics/applications/book/978-1-4419-0223-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4419-0223-8,Null,Null,Null
Afra Zomorodian,Topology for computing.,Null,2005,"I-XIII, 1-243",Null,Cambridge University Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-521-83666-1,Cambridge monographs on applied and computational mathematics,Null,Null
Jono Bacon,"The Art of Community - Building the New Age of Participation, 2nd Edition.",Null,2012,"I-XXIV, 1-539",http://www.oreilly.de/catalog/9781449312060/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-449-31206-0,Theory in practice,Null,Null
"Stanley Burris, Hanamantagouda P. Sankappanavar",A course in universal algebra.,Null,1981,"I-XV, 1-276",Null,Springer,Null,Null,Null,78,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-90578-5,Graduate texts in mathematics,Null,Null
Ernst L. Leiss,Language equations.,Null,1999,"I-XVI, 1-216",https://doi.org/10.1007/978-1-4612-2156-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-0-387-98626-5, 978-1-4612-2156-2",Monographs in Computer Science,Null,Null
"Marco Dorigo, Thomas Stützle",Ant colony optimization.,Null,2004,"I-XIV, 1-305",Null,MIT Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-262-04219-2,Null,Null,Null
Sivarama P. Dandamudi,Introduction to assembly language programming - from 8086 to Pentium processors.,Null,1998,"I-XXII, 1-644",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-98530-5,Undergraduate texts in computer science,Null,Null
Vernon L. Smith,Bargaining and market behavior - essays in experimental economics.,Null,2005,"I-XII, 1-461",Null,Cambridge University Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-521-02148-7,Null,Null,Null
Preston Gralla,PC pest control - protect your computers from malicious internet invaders.,Null,2005,"I-VII, 1-275",http://www.oreilly.de/catalog/pcpestcontrol/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00926-7,Null,Null,Null
Stan Z. Li,Markov Random Field Modeling in Computer Vision.,Null,1995,"I-XVI, 1-264",https://doi.org/10.1007/978-4-431-66933-3,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-0-387-70145-5, 978-4-431-66933-3",Computer Science Workbench,Null,Null
"Randal L. Schwartz, Tom Christiansen",Learning Perl (2. ed.).,Null,1997,Null,Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-56592-284-6,Unix programming,Null,Null
Christopher A. Fuchs,Coming of Age With Quantum Information - Notes on a Paulian Idea.,Null,2011,"I-LV, 1-543",http://www.cambridge.org/de/knowledge/isbn/item2705705/?site_locale=de_DE,Cambridge University Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-521-19926-1,Null,Null,Null
Clinton L. Jeffery,Program monitoring and visualization - a exploratory approach.,Null,1999,"I-XIV, 1-209",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-98644-9,Null,Null,Null
Alexander Schill,Das OSF Distributed Computing Environment - Grundlagen und Anwendung (2. Aufl.).,Null,1997,"I-XV, 1-277",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-62571-1,Null,Null,Null
Arnold Robbins,Effective awk programming - text processing and pattern matching: a GNU manual (3. ed.).,Null,2001,"I-XXIV, 1-421",Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00070-7,Null,Null,Null
"Sarah E. Hutchinson, Stacey C. Sawyer",Computer essentials.,Null,1994,Null,Null,Irwin,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-256-15259-3,Null,Null,Null
Isabella Peters,Folksonomies - Indexing and Retrieval in Web 2.0.,Null,2009,"I-VI, 1-443",https://www.degruyter.com/view/product/42362,Saur,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-598-25179-5,Knowledge and Information,Null,Null
"Edward M. Reingold, Nachum Dershowitz",Calendrical Tabulations - 1900 - 2200.,Null,2002,"I-XXX, 1-606",http://www.cambridge.org/de/academic/subjects/computer-science/computing-and-society/calendrical-tabulations-19002200,Cambridge University Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-521-78253-1,Null,Null,Null
"Frank Bitzer, Klaus M. Brisch","Digitale Signatur - Grundlagen, Funktion und Einsatz.",Null,1999,"I-XIV, 1-195",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-65563-3,Null,Null,Null
"Richard E. Nance, James D. Arthur",Managing software quality - a measurement framework for assesment and prediction.,Null,2002,"I-X, 1-121",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-85233-393-5,Practitioner series,Null,Null
Michael Mahemoff,Ajax design patterns - creating web 2.0 sites with programming and usability patterns.,Null,2006,"I-XV, 1-635",http://www.oreilly.com/catalog/ajaxdp/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-10180-0,Null,Null,Null
Arne Meier,On the Complexity of Modal Logic Variants and their Fragments.,University of Hanover,2011,"I-XVI, 1-125","http://www.cuvillier.de/flycms/de/html/30/-UickI3zKPS3yf08=/Buchdetails.html, https://d-nb.info/1021114456",Cuvillier,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86955-929-2,Null,Null,Null
Franklin R. Nash,Estimating device reliability - assessment of credibility.,Null,1993,"I-XIV, 1-213",Null,Kluwer,Null,Null,Null,206,Null,Null,Null,Null,Null,Null,Null,Null,978-0-7923-9304-7,The Kluwer international series in engineering and computer science,Null,Null
Steffen Flick,Sprachunabhängiges Refactoring - das Dagstuhl Middle Metamodel im Kontext sprachunabhängigen Refactorings.,Null,2008,"I-II, 1-95",Null,VDM,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-639-00159-4,Null,Null,Null
Shelley Powers,Developing ASP components - extending Active Server Pages (2. ed.).,Null,2001,"I-XVII, 1-811",Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-56592-750-6,Null,Null,Null
Matt Duckham,Decentralized Spatial Computing - Foundations of Geosensor Networks.,Null,2013,"I-XXI, 1-320",https://doi.org/10.1007/978-3-642-30853-6,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-642-30852-9,Null,Null,Null
Falko Bause,Funktionale Analyse zeitbehafteter Petri-Netze.,"Technical University of Dortmund, Germany",1992,"I-VIII, 1-182","https://d-nb.info/911491872, https://d-nb.info/920563783",Deutscher Universitätsverlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-2025-4,Null,Null,Null
James A. Anderson,Automata theory with modern applications.,Null,2006,"I-VIII, 1-255",Null,Cambridge University Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-521-61324-8,Null,Null,Null
James Murty,"Programming Amazon web services - S3, EC2, SQS, FPS, and SimpleDB: outsource your infrastructure.",Null,2008,"I-XVI, 1-591",http://www.oreilly.com/catalog/9780596515812/index.html#top,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-51581-2,Null,Null,Null
Krzysztof R. Apt,Principles of constraint programming.,Null,2003,"I-XII, 1-407",Null,Cambridge University Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-521-82583-2,Null,Null,Null
"Kathy Sierra, Bert Bates",Head first Java - your brain on Java: a learner's guide.,Null,2003,"I-XXX, 1-619",http://www.oreilly.de/catalog/hfjava/,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00465-1,Null,Null,Null
Greg Kroah-Hartman,Linux kernel - in a nutshell: a quick desktop reference.,Null,2007,"I-XIII, 1-182",http://www.oreilly.de/catalog/9780596100797/,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-10079-7,Null,Null,Null
Donald E. Knuth,Selected papers on computer languages.,Null,2003,"I-XVI, 1-594",Null,CSLI Publications,Null,Null,Null,139,Null,Null,Null,Null,Null,Null,Null,Null,978-1-57586-382-5,CSLI lecture notes series,Null,Null
Andreas Enge,Elliptic Curves and Their Applications to Cryptography - an introduction.,Null,1999,"I-XVI, 1-164",Null,Kluwer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-7923-8589-9,Null,Null,Null
"Richard M. Murray, Zexiang Li, S. Shankar Sastry",A mathematical introduction to robotics manipulation.,Null,1994,"I-XIX, 1-456",Null,CRC Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-8493-7981-9,Null,Null,Null
John Dauns,A concrete approach to division rings.,Null,1982,"I-XX, 1-417",Null,Heldermann,Null,Null,Null,2,Null,Null,Null,Null,Null,Null,Null,Null,978-3-88538-202-7,Research and education in mathematics,Null,Null
Frans Wiering,The language of the modes - studies in history of polyphonic modality.,Null,2001,"I-XII, 1-320",Null,Routledge,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-815-33342-5,Null,Null,Null
Null,"Microsoft Windows NT Workstation Version 4.0 - die technische Referenz: umfassende technische Information und Tools zur Installation, Konfiguration und Fehlerbehebung.",Null,1996,"I-XXXVII, 1-1343",Null,Microsoft Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86063-240-6,Null,Null,Null
Steven Feuerstein,Oracle PL/SQL best practices - optimizing Oracle code: includes quick-reference card.,Null,2001,"I-XIX, 1-182",Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-00121-6,Null,Null,Null
Wayne P. Stevens,Software design - concepts and methods.,Null,1991,"I-XVII, 1-251",Null,Prentice Hall,Null,Null,Null,3,Null,Null,Null,Null,Null,Null,Null,Null,978-0-13-820242-2,Practical software engineering series,Null,Null
"Jakob Andreas Bærentzen, Jens Gravesen, François Anton, Henrik Aanæs","Guide to Computational Geometry Processing - Foundations, Algorithms, and Methods.",Null,2012,"I-XVIII, 1-325","https://doi.org/10.1007/978-1-4471-4075-7, https://www.wikidata.org/entity/Q54913278",Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4471-4074-0,Null,Null,Null
David Pogue,iMovie - the missing manual: the book that should have been in the box: step-by-step video editing for Macintosh.,Null,2000,"I-XII, 1-373",Null,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-56592-859-6,Null,Null,Null
Peter Pagé,Objektorientierte Software in der kommerziellen Anwendung.,Berlin Institute of Technology,1996,"I-XII, 1-392",https://d-nb.info/946096864,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-60136-4,Null,Null,Null
Oliver Deussen,Computergenerierte Pflanzen - Technik und Design digitaler Pflanzenwelten.,Null,2002,"I-XII, 1-287",https://doi.org/10.1007/978-3-642-55822-1,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-540-43606-5, 978-3-642-62835-1, 978-3-642-55822-1",X.media.press,Null,Null
Christian Piguet,"Low-power CMOS circuits - technology, logic design and CAD tools.",Null,2005,Null,Null,CRC Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-8493-9537-6,Null,Null,Null
"Rolf Socher-Ambrosius, Patricia Johann",Deduction systems.,Null,1997,"I-XII, 1-206",https://doi.org/10.1007/978-1-4612-2266-8,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-0-387-94847-8, 978-1-4612-7479-7, 978-1-4612-2266-8",Graduate Texts in Computer Science,Null,Null
"Richard A. DeMillo, W. Michael McCracken, Rhonda J. Martin, John F. Passafiume",Software testing and evaluation.,Null,1987,"I-XIII, 1-537",http://dl.acm.org/citation.cfm?id=40689,Benjamin/Cummings,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-8053-2535-5,Null,Null,Null
Susumu Tachi,Telexistence.,Null,2010,"I-XII, 1-198",Null,World Scientific,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-981-283-633-5,Null,Null,Null
Randall S. Janka,Specification and design methodology for real-time embedded systems.,Null,2002,"I-XXI, 1-221",Null,Kluwer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-7923-7626-2,Null,Null,Null
"Uwe Steinmüller, Jürgen Gulbins",Fine Art Printing für Fotografen - hochwertige Fotodrucke mit Inkjet-Druckern.,Null,2006,"I-IX, 1-254",Null,dpunkt.verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-89864-377-1,Null,Null,Null
"Heinz-Peter Gumm, Manfred Sommer 0001",Einführung in die Informatik (2. Aufl.).,Null,1995,1-594,Null,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-89319-945-7,Null,Null,Null
"Ingo Boersch, Jochen Heinsohn, Rolf Socher","Wissensverarbeitung - eine Einführung in die künstliche Intelligenz für Informatiker und Ingenieure, 2. Auflage.",Null,2007,"I-XVI, 1-379",Null,Elsevier Spektrum Akademischer Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
"Christoph Beierle, Gabriele Kern-Isberner","Methoden wissensbasierter Systeme - Grundlagen, Algorithmen, Anwendungen, 2. Auflage.",Null,2003,"I-XIV, 1-458",Null,Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-528-15723-4,Computational intelligence,Null,Null
Annegret Schubert,Privatisierung des eGovernment.,Null,2010,1-408,Null,Boorberg,Null,Null,Null,19,Null,Null,Null,Null,Null,Null,Null,Null,978-3-415-04380-0,Recht und neue Medien,Null,Null
Des Watson,High-level languages and their compilers.,Null,1989,"I-XII, 1-337",Null,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-201-18489-1,International computer science series,Null,Null
John Ferguson Smart,Java power tools.,Null,2008,"I-XXXV, 1-871",http://www.oreilly.com/catalog/9780596527938/index.html#top,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-52793-8,Null,Null,Null
"Samuel J. Leffler, Marshall K. McKusick, Michael J. Karels, John S. Quarterman",Das 4.3 BSD Unix Betriebssystem - Design und Implementierung.,Null,1990,"I-XVI, 1-678",Null,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-89319-239-7,Null,Null,Null
Iain D. Craig,The interpretation of object-oriented programming languages - updated to include C# (2. ed.).,Null,2002,"I-XIV, 1-290",http://www.springer.com/computer/swe/book/978-1-85233-547-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-85233-547-2,Null,Null,Null
"Lukas König, Friederike Pfeiffer-Bohnen, Hartmut Schmeck",Theoretische Informatik - ganz praktisch.,Null,2016,"I-XVIII, 1-413",https://doi.org/10.1515/9783110412086,de Gruyter Oldenbourg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-11-041207-9,Null,Null,Null
"Mark W. Lansdale, Thomas C. Ormerod",Understanding interfaces - a handbook of human-computer dialogue.,Null,1994,"I-XI, 1-289",Null,Academic Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-12-528390-8,Computers and people series,Null,Null
Allen Stoughton,Fully abstract models of programming languages.,Null,1988,1-154,Null,Pitman,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-273-08788-5,Research Notes in Theoretical Computer Science,Null,Null
"Ajit Narayanan, Noel E. Sharkey",Introduction to LISP.,Null,1985,1-227,Null,Ellis Horwood,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-13-485913-2,Ellis Horwood series in computers and their applications,Null,Null
Barry Boone,Java essentials for C and C++ programmers.,Null,1996,"I-XXI, 1-311",Null,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-201-47946-1,Null,Null,Null
Preston Gralla,Big book of Windows hacks - tips and tools for unlocking the power of your Windows PC.,Null,2007,"I-XVII, 1-647",http://www.oreilly.de/catalog/9780596528355/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-52835-5,Null,Null,Null
Aaron Reed,"Learning XNA 3.0 - Game Development for the PC, Xbox 360, and Zune.",Null,2008,1-506,http://www.oreilly.de/catalog/9780596521950/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-52195-0,Null,Null,Null
Steven Skiena,The algorithm design manual.,Null,1997,"I-XVI, 1-486",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-94860-7,Null,Null,Null
"Randal L. Schwartz, Brian D. Foy, Tom Phoenix",Learning Perl - Making Easy Things Easy and Hard Things Possible: Covers Perl 5.14 (6th ed.).,Null,2011,"I-XXI, 1-363",http://www.oreilly.de/catalog/9781449303587/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-449-30358-7,Null,Null,Null
"Przemyslaw Prusinkiewicz, Aristid Lindenmayer",The algorithmic beauty of plants.,Null,1990,"I-XII, 1-228",https://www.worldcat.org/oclc/260219689,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-0-387-94676-4, 0-387-97297-8",The virtual laboratory,Null,Null
"Brian Jepson, Ernest E. Rothman, Rich Rosen",Mac OS X for Unix geeks - demystifying the geekier side of Mac OS X: now covers Leopard.,Null,2008,"I-XVIII, 1-406",http://www.oreilly.de/catalog/9780596520625/index.html,O'Reilly,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-596-52062-5,Null,Null,Null
Andreas Meier 0001,Relationale Datenbanken - eine Einführung für die Praxis (2. Aufl.).,Null,1995,"I-XI, 1-179",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-57486-6,Null,Null,Null
Klaus Mainzer,The little book of time.,Null,2002,"I-XVI, 1-175",Null,Copernicus Books / Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-387-95288-8,Little book series,Null,Null
Peter Lee 0001,Realistic compiler generation.,Null,1989,"I-IX, 1-246",Null,MIT Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-262-12141-5,Foundations of Computing Series,Null,Null
Manfred Bretz,Algorithmen und Berechenbarkeit - eine Einführung in die Algorithmentheorie der Softwaretechnik für Studenten der Informatik.,Null,1992,1-173,Null,Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-528-05233-1,Null,Null,Null
"Les A. Piegl, Wayne Tiller","The NURBS Book, Second Edition.",Null,1997,"I-XIV, 1-646",https://doi.org/10.1007/978-3-642-59223-2,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"978-3-540-61545-3, 978-3-642-59223-2",Monographs in Visual Communication,Null,Null
"Charles H. Lindsey, Sietse G. van der Meulen","Informal Introduction to ALGOL 68, Second Edition.",Null,1977,1-361,Null,North-Holland,"Informal Introduction to ALGOL 68, 2nd Edition",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-7204-0726-6,Null,Null,Null
"Narain Gehani, Andrew D. McGettrick",Concurrent programming.,Null,1989,"I-XIII, 1-621",Null,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-0-201-17435-9,International computer science series,Null,Null
Bernd Heinrichs,Multimedia im Netz.,Null,1996,"I-X, 1-255",Null,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-58349-3,Null,Null,Null
Nicolas Bruno,Automated Physical Database Design and Tuning.,Null,2011,"I-XIV, 1-239",http://www.taylorandfrancis.com/books/details/9781466533264/,CRC Press,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-1-4398-1567-0,Emerging directions in database systems and applications,Null,Null
Bernd Britzelmaier,Informationsverarbeitungs-Controlling - ein datenorientierter Ansatz.,"University of Konstanz, Germany",1999,1-234,https://d-nb.info/956201466,Teubner,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-519-00273-4,Teubner-Reihe Wirtschaftsinformatik,Null,Null
